Date,Open,High,Low,Close,Adj Close,Volume
2022-09-02,296.109985,296.799988,290.119995,291.899994,280.611145,2753600
2022-09-06,293.220001,294.500000,287.260010,289.540009,278.342438,4110000
2022-09-07,290.440002,297.700012,290.299988,297.470001,285.965729,3016000
2022-09-08,296.000000,300.190002,294.540009,299.899994,288.301727,2703200
2022-09-09,299.480011,302.489990,298.329987,299.769989,288.176788,2769200
2022-09-12,300.799988,302.829987,296.350006,297.540009,286.033020,3632900
2022-09-13,292.010010,294.079987,277.320007,277.929993,267.181427,4797200
2022-09-14,279.399994,279.540009,273.170013,276.339996,265.652893,4194400
2022-09-15,277.890015,278.010010,270.540009,271.540009,261.038574,3896100
2022-09-16,269.049988,276.559998,268.899994,275.970001,265.297241,9535100
2022-09-19,273.579987,281.230011,273.510010,280.420013,269.575195,3047200
2022-09-20,276.880005,278.779999,271.369995,274.170013,263.566864,2940700
2022-09-21,276.000000,280.130005,271.510010,271.570007,261.067383,3173500
2022-09-22,271.220001,271.220001,267.850006,269.140015,258.731354,3515800
2022-09-23,267.890015,271.299988,266.320007,270.940002,260.461731,3527900
2022-09-26,271.429993,273.559998,265.609985,266.579987,256.270325,4181800
2022-09-27,269.359985,273.690002,266.980011,268.690002,258.298767,3701000
2022-09-28,275.220001,283.500000,272.709991,282.190002,271.276672,5816600
2022-09-29,278.510010,278.760010,274.730011,278.329987,267.565979,4518600
2022-09-30,277.820007,281.790009,274.760010,275.940002,265.268372,4789100
2022-10-03,281.000000,286.059998,279.549988,283.700012,272.728302,3580000
2022-10-04,287.500000,291.309998,286.559998,289.559998,278.361664,3641300
2022-10-05,286.250000,292.109985,285.369995,289.850006,278.640442,2728000
2022-10-06,289.559998,292.970001,287.769989,290.390015,279.159576,2641500
2022-10-07,287.529999,288.630005,282.420013,284.320007,273.324310,2406000
2022-10-10,283.559998,284.859985,280.220001,282.459991,271.536194,2115400
2022-10-11,281.100006,286.200012,280.899994,282.890015,271.949585,2771900
2022-10-12,284.420013,284.640015,280.489990,280.519989,269.671265,2258200
2022-10-13,274.660004,284.829987,268.730011,282.829987,271.891876,3881600
2022-10-14,286.640015,286.640015,275.950012,276.429993,265.739410,2783100
2022-10-17,279.600006,283.869995,279.339996,281.260010,270.382629,3426700
2022-10-18,287.950012,289.859985,283.230011,285.059998,274.035645,3166500
2022-10-19,282.470001,282.769989,273.019989,275.489990,264.835785,4323000
2022-10-20,274.940002,278.000000,267.869995,269.459991,259.038971,3959500
2022-10-21,268.339996,275.709991,268.000000,275.529999,264.874207,3429100
2022-10-24,276.970001,284.470001,276.970001,283.260010,272.305298,2937100
2022-10-25,285.510010,292.130005,285.510010,290.260010,279.034607,2791600
2022-10-26,290.600006,291.869995,286.170013,290.149994,278.928802,2615000
2022-10-27,291.850006,294.269989,289.450012,291.059998,279.803650,3041500
2022-10-28,290.000000,299.160004,290.000000,298.649994,287.100098,3243100
2022-10-31,294.410004,299.279999,292.549988,296.130005,284.677551,4210900
2022-11-01,300.369995,302.209991,293.350006,296.059998,284.610291,3309100
2022-11-02,295.200012,300.170013,288.519989,288.730011,277.563782,4426400
2022-11-03,283.570007,285.950012,280.510010,281.500000,270.613373,4823900
2022-11-04,285.890015,288.839996,277.500000,284.029999,273.045502,4401600
2022-11-07,286.500000,291.700012,282.839996,290.269989,279.044159,3260200
